config->entry:/usr/lib/gcc/x86_64-linux-gnu/9/../../../x86_64-linux-gnu/Scrt1.o--_start
Symbol User;Symbol Owner;Symbol
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink-elf.cpp.o;llvm::registerELFGraphInfo(llvm::Session&, llvm::jitlink::LinkGraph&)
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink-macho.cpp.o;llvm::registerMachOGraphInfo(llvm::Session&, llvm::jitlink::LinkGraph&)
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMX86Desc.a(X86MCTargetDesc.cpp.o);LLVMInitializeX86TargetMC
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMX86Disassembler.a(X86Disassembler.cpp.o);LLVMInitializeX86Disassembler
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMX86Info.a(X86TargetInfo.cpp.o);LLVMInitializeX86TargetInfo
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMBinaryFormat.a(Magic.cpp.o);llvm::identify_magic(llvm::StringRef)
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMJITLink.a(JITLink.cpp.o);llvm::jitlink::LinkGraph::dump(llvm::raw_ostream&)
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMJITLink.a(JITLinkMemoryManager.cpp.o);vtable for llvm::jitlink::InProcessMemoryManager
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMJITLink.a(JITLinkMemoryManager.cpp.o);llvm::jitlink::JITLinkMemoryManager::~JITLinkMemoryManager()
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMJITLink.a(JITLinkMemoryManager.cpp.o);llvm::jitlink::JITLinkMemoryManager::Allocation::~Allocation()
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMMC.a(MCContext.cpp.o);llvm::MCContext::~MCContext()
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMMC.a(MCContext.cpp.o);llvm::MCContext::MCContext(llvm::MCAsmInfo const*, llvm::MCRegisterInfo const*, llvm::MCObjectFileInfo const*, llvm::SourceMgr const*, llvm::MCTargetOptions const*, bool)
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMMC.a(MCTargetOptions.cpp.o);llvm::MCTargetOptions::MCTargetOptions()
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMObject.a(ObjectFile.cpp.o);llvm::object::ObjectFile::createObjectFile(llvm::MemoryBufferRef, llvm::file_magic, bool)
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMObject.a(ObjectFile.cpp.o);llvm::object::ObjectFile::makeTriple() const
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(Debug.cpp.o);llvm::dbgs()
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::ErrorInfoBase::ID
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::report_fatal_error(llvm::Error, bool)
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::StringError::ID
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::ErrorList::ID
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);vtable for llvm::ErrorList
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::ErrorInfoBase::anchor()
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::inconvertibleErrorCode()
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::StringError::StringError(llvm::Twine const&, std::error_code)
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::logAllUnhandledErrors(llvm::Error, llvm::raw_ostream&, llvm::Twine)
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::errorCodeToError(std::error_code)
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(ExtensibleRTTI.cpp.o);llvm::RTTIRoot::anchor()
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(ExtensibleRTTI.cpp.o);llvm::RTTIRoot::ID
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMSupport.a(FormatVariadic.cpp.o);llvm::detail::format_adapter::anchor()
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMOrcJIT.a(Core.cpp.o);llvm::orc::ExecutionSession::OL_destroyMaterializationResponsibility(llvm::orc::MaterializationResponsibility&)
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMOrcJIT.a(Core.cpp.o);llvm::orc::ExecutionSession::lookup(llvm::ArrayRef<llvm::orc::JITDylib*>, llvm::StringRef, llvm::orc::SymbolState)
tools/llvm-jitlink/CMakeFiles/llvm-jitlink.dir/llvm-jitlink.cpp.o;lib/libLLVMOrcJIT.a(Core.cpp.o);llvm::orc::JITDylib::setLinkOrder(std::vector<std::pair<llvm::orc::JITDylib*, llvm::orc::JITDylibLookupFlags>, std::allocator<std::pair<llvm::orc::JITDylib*, llvm::orc::JITDylibLookupFlags> > >, bool)
