config->entry:/usr/lib/gcc/x86_64-linux-gnu/9/../../../x86_64-linux-gnu/Scrt1.o--_start
Symbol User;Symbol Owner;Symbol
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMDemangle.a(ItaniumDemangle.cpp.o);llvm::itaniumDemangle(char const*, char*, unsigned long*, int*)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMRemarks.a(RemarkFormat.cpp.o);llvm::remarks::parseFormat(llvm::StringRef)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMRemarks.a(RemarkParser.cpp.o);llvm::remarks::EndOfFileError::ID
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMRemarks.a(RemarkParser.cpp.o);llvm::remarks::createRemarkParserFromMeta(llvm::remarks::Format, llvm::StringRef, llvm::Optional<llvm::remarks::ParsedStringTable>, llvm::Optional<llvm::StringRef>)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::parser<bool>
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GenericOptionValue::anchor()
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::ParseCommandLineOptions(int, char const* const*, llvm::StringRef, llvm::raw_ostream*, char const*, bool)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::HideUnrelatedOptions(llvm::cl::OptionCategory&, llvm::cl::SubCommand&)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::TopLevelSubCommand
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::setArgStr(llvm::StringRef)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addArgument()
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addCategory(llvm::cl::OptionCategory&)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GeneralCategory
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::OptionCategory::registerCategory()
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::OptionValue<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::opt<bool, false, llvm::cl::parser<bool> >
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::opt<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, false, llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::ErrorInfoBase::ID
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);vtable for llvm::ErrorList
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::ErrorList::ID
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(InitLLVM.cpp.o);llvm::InitLLVM::InitLLVM(int&, char const**&, bool)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(InitLLVM.cpp.o);llvm::InitLLVM::~InitLLVM()
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(LineIterator.cpp.o);llvm::line_iterator::advance()
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(LineIterator.cpp.o);llvm::line_iterator::line_iterator(llvm::MemoryBuffer const&, bool, char)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(ManagedStatic.cpp.o);llvm::ManagedStaticBase::RegisterManagedStatic(void* (*)(), void (*)(void*)) const
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::deallocate_buffer(void*, unsigned long, unsigned long)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(MemoryBuffer.cpp.o);llvm::MemoryBuffer::getFile(llvm::Twine const&, bool, bool, bool)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(SmallVector.cpp.o);llvm::SmallVectorBase<unsigned long>::grow_pod(void*, unsigned long, unsigned long)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(StringRef.cpp.o);llvm::getAsSignedInteger(llvm::StringRef, unsigned int, long long&)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(WithColor.cpp.o);llvm::WithColor::error()
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::operator<<(llvm::FormattedNumber const&)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::operator<<(long)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::write(char const*, unsigned long)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_fd_ostream::raw_fd_ostream(llvm::StringRef, std::error_code&, llvm::sys::fs::OpenFlags)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);vtable for llvm::raw_string_ostream
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::SetBufferAndMode(char*, unsigned long, llvm::raw_ostream::BufferKind)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::errs()
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::flush_nonempty()
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_fd_ostream::~raw_fd_ostream()
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::write(unsigned char)
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_string_ostream::~raw_string_ostream()
tools/llvm-opt-report/CMakeFiles/llvm-opt-report.dir/OptReport.cpp.o;lib/libLLVMSupport.a(Path.cpp.o);llvm::sys::fs::make_absolute(llvm::Twine const&, llvm::SmallVectorImpl<char>&)
lib/libLLVMRemarks.a(RemarkFormat.cpp.o);lib/libLLVMSupport.a(Error.cpp.o);llvm::StringError::StringError(llvm::Twine const&, std::error_code)
