config->entry:/usr/lib/gcc/x86_64-linux-gnu/9/../../../x86_64-linux-gnu/Scrt1.o--_start
Symbol User;Symbol Owner;Symbol
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/PerfReader.cpp.o;llvm::sampleprof::PerfReader::parsePerfTraces(llvm::cl::list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&)
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/PerfReader.cpp.o;llvm::sampleprof::PerfReader::PerfReader(llvm::cl::list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&, llvm::cl::list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&)
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/ProfiledBinary.cpp.o;ShowDisassemblyOnly
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/ProfileGenerator.cpp.o;llvm::sampleprof::ProfileGenerator::write()
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/ProfileGenerator.cpp.o;llvm::sampleprof::ProfileGenerator::create(std::unordered_map<llvm::sampleprof::ProfiledBinary*, std::unordered_map<llvm::sampleprof::Hashable<llvm::sampleprof::ContextKey>, llvm::sampleprof::SampleCounter, llvm::sampleprof::Hashable<llvm::sampleprof::ContextKey>::Hash, llvm::sampleprof::Hashable<llvm::sampleprof::ContextKey>::Equal, std::allocator<std::pair<llvm::sampleprof::Hashable<llvm::sampleprof::ContextKey> const, llvm::sampleprof::SampleCounter> > >, std::hash<llvm::sampleprof::ProfiledBinary*>, std::equal_to<llvm::sampleprof::ProfiledBinary*>, std::allocator<std::pair<llvm::sampleprof::ProfiledBinary* const, std::unordered_map<llvm::sampleprof::Hashable<llvm::sampleprof::ContextKey>, llvm::sampleprof::SampleCounter, llvm::sampleprof::Hashable<llvm::sampleprof::ContextKey>::Hash, llvm::sampleprof::Hashable<llvm::sampleprof::ContextKey>::Equal, std::allocator<std::pair<llvm::sampleprof::Hashable<llvm::sampleprof::ContextKey> const, llvm::sampleprof::SampleCounter> > > > > > const&, llvm::sampleprof::PerfScriptType)
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMX86Desc.a(X86MCTargetDesc.cpp.o);LLVMInitializeX86TargetMC
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMX86Disassembler.a(X86Disassembler.cpp.o);LLVMInitializeX86Disassembler
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMX86Info.a(X86TargetInfo.cpp.o);LLVMInitializeX86TargetInfo
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMMC.a(MCSubtargetInfo.cpp.o);vtable for llvm::MCSubtargetInfo
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addOccurrence(unsigned int, llvm::StringRef, llvm::StringRef, bool)
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::basic_parser_impl::printOptionInfo(llvm::cl::Option const&, unsigned long) const
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::anchor()
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::ParseCommandLineOptions(int, char const* const*, llvm::StringRef, llvm::raw_ostream*, char const*, bool)
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addArgument()
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::setArgStr(llvm::StringRef)
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GeneralCategory
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::basic_parser_impl::getOptionWidth(llvm::cl::Option const&) const
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSupport.a(InitLLVM.cpp.o);llvm::InitLLVM::InitLLVM(int&, char const**&, bool)
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSupport.a(InitLLVM.cpp.o);llvm::InitLLVM::~InitLLVM()
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::deallocate_buffer(void*, unsigned long, unsigned long)
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSupport.a(SmallVector.cpp.o);llvm::SmallVectorBase<unsigned int>::grow_pod(void*, unsigned long, unsigned long)
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;lib/libLLVMSymbolize.a(Symbolize.cpp.o);llvm::symbolize::LLVMSymbolizer::flush()
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/PerfReader.cpp.o;tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;std::_Hashtable<unsigned long, std::pair<unsigned long const, llvm::SmallVector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, llvm::sampleprof::LineLocation>, 4u> >, std::allocator<std::pair<unsigned long const, llvm::SmallVector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, llvm::sampleprof::LineLocation>, 4u> > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::~_Hashtable()
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/PerfReader.cpp.o;tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<std::tuple<unsigned long, unsigned int> const, std::unique_ptr<llvm::sampleprof::PseudoProbeInlineTree, std::default_delete<llvm::sampleprof::PseudoProbeInlineTree> > >, true> > >::_M_deallocate_nodes(std::__detail::_Hash_node<std::pair<std::tuple<unsigned long, unsigned int> const, std::unique_ptr<llvm::sampleprof::PseudoProbeInlineTree, std::default_delete<llvm::sampleprof::PseudoProbeInlineTree> > >, true>*)
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/PerfReader.cpp.o;tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;std::_Rb_tree<std::pair<unsigned long, unsigned long>, std::pair<std::pair<unsigned long, unsigned long> const, unsigned long>, std::_Select1st<std::pair<std::pair<unsigned long, unsigned long> const, unsigned long> >, std::less<std::pair<unsigned long, unsigned long> >, std::allocator<std::pair<std::pair<unsigned long, unsigned long> const, unsigned long> > >::_M_erase(std::_Rb_tree_node<std::pair<std::pair<unsigned long, unsigned long> const, unsigned long> >*)
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/PerfReader.cpp.o;tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;std::_Rb_tree<unsigned long, std::pair<unsigned long const, llvm::sampleprof::ProfiledBinary*>, std::_Select1st<std::pair<unsigned long const, llvm::sampleprof::ProfiledBinary*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, llvm::sampleprof::ProfiledBinary*> > >::_M_erase(std::_Rb_tree_node<std::pair<unsigned long const, llvm::sampleprof::ProfiledBinary*> >*)
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/PerfReader.cpp.o;tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;std::_Rb_tree<std::pair<unsigned long, unsigned long>, std::pair<unsigned long, unsigned long>, std::_Identity<std::pair<unsigned long, unsigned long> >, std::less<std::pair<unsigned long, unsigned long> >, std::allocator<std::pair<unsigned long, unsigned long> > >::_M_erase(std::_Rb_tree_node<std::pair<unsigned long, unsigned long> >*)
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/PerfReader.cpp.o;tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;llvm::MCInstrAnalysis::~MCInstrAnalysis()
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/PerfReader.cpp.o;tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;llvm::MCInstrAnalysis::~MCInstrAnalysis()
tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/PerfReader.cpp.o;tools/llvm-profgen/CMakeFiles/llvm-profgen.dir/llvm-profgen.cpp.o;llvm::MCSubtargetInfo::~MCSubtargetInfo()
