config->entry:/usr/lib/gcc/x86_64-linux-gnu/9/../../../x86_64-linux-gnu/Scrt1.o--_start
Symbol User;Symbol Owner;Symbol
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/CodeRegion.cpp.o;llvm::mca::CodeRegions::CodeRegions(llvm::SourceMgr&)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/CodeRegionGenerator.cpp.o;llvm::mca::CodeRegionGenerator::~CodeRegionGenerator()
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/CodeRegionGenerator.cpp.o;llvm::mca::AsmCodeRegionGenerator::parseCodeRegions()
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/CodeRegionGenerator.cpp.o;vtable for llvm::mca::AsmCodeRegionGenerator
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/CodeRegionGenerator.cpp.o;vtable for llvm::mca::CodeRegionGenerator
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/PipelinePrinter.cpp.o;llvm::mca::PipelinePrinter::printReport(llvm::raw_ostream&) const
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/Views/BottleneckAnalysis.cpp.o;llvm::mca::BottleneckAnalysis::BottleneckAnalysis(llvm::MCSubtargetInfo const&, llvm::MCInstPrinter&, llvm::ArrayRef<llvm::MCInst>, unsigned int)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/Views/DispatchStatistics.cpp.o;vtable for llvm::mca::DispatchStatistics
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/Views/InstructionInfoView.cpp.o;vtable for llvm::mca::InstructionInfoView
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/Views/InstructionView.cpp.o;vtable for llvm::mca::InstructionView
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/Views/RegisterFileStatistics.cpp.o;llvm::mca::RegisterFileStatistics::RegisterFileStatistics(llvm::MCSubtargetInfo const&)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/Views/ResourcePressureView.cpp.o;llvm::mca::ResourcePressureView::ResourcePressureView(llvm::MCSubtargetInfo const&, llvm::MCInstPrinter&, llvm::ArrayRef<llvm::MCInst>)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/Views/RetireControlUnitStatistics.cpp.o;llvm::mca::RetireControlUnitStatistics::RetireControlUnitStatistics(llvm::MCSchedModel const&)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/Views/SchedulerStatistics.cpp.o;llvm::mca::SchedulerStatistics::SchedulerStatistics(llvm::MCSubtargetInfo const&)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/Views/SummaryView.cpp.o;llvm::mca::SummaryView::SummaryView(llvm::MCSchedModel const&, llvm::ArrayRef<llvm::MCInst>, unsigned int)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;tools/llvm-mca/CMakeFiles/llvm-mca.dir/Views/TimelineView.cpp.o;llvm::mca::TimelineView::TimelineView(llvm::MCSubtargetInfo const&, llvm::MCInstPrinter&, llvm::ArrayRef<llvm::MCInst>, unsigned int, unsigned int)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMX86AsmParser.a(X86AsmParser.cpp.o);LLVMInitializeX86AsmParser
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMX86Desc.a(X86MCTargetDesc.cpp.o);LLVMInitializeX86TargetMC
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMX86Info.a(X86TargetInfo.cpp.o);LLVMInitializeX86TargetInfo
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMCA.a(Context.cpp.o);llvm::mca::Context::createDefaultPipeline(llvm::mca::PipelineOptions const&, llvm::mca::SourceMgr&)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMCA.a(InstrBuilder.cpp.o);llvm::mca::InstrBuilder::InstrBuilder(llvm::MCSubtargetInfo const&, llvm::MCInstrInfo const&, llvm::MCRegisterInfo const&, llvm::MCInstrAnalysis const*)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMCA.a(InstrBuilder.cpp.o);llvm::mca::InstrBuilder::createInstruction(llvm::MCInst const&)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMCA.a(Pipeline.cpp.o);llvm::mca::Pipeline::run()
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMCA.a(Pipeline.cpp.o);llvm::mca::Pipeline::appendStage(std::unique_ptr<llvm::mca::Stage, std::default_delete<llvm::mca::Stage> >)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMCA.a(Pipeline.cpp.o);llvm::mca::Pipeline::addEventListener(llvm::mca::HWEventListener*)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMCA.a(EntryStage.cpp.o);vtable for llvm::mca::EntryStage
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMCA.a(InstructionTables.cpp.o);vtable for llvm::mca::InstructionTables
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMCA.a(Support.cpp.o);llvm::mca::computeProcResourceMasks(llvm::MCSchedModel const&, llvm::MutableArrayRef<unsigned long>)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMC.a(MCContext.cpp.o);llvm::MCContext::~MCContext()
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMC.a(MCContext.cpp.o);llvm::MCContext::MCContext(llvm::MCAsmInfo const*, llvm::MCRegisterInfo const*, llvm::MCObjectFileInfo const*, llvm::SourceMgr const*, llvm::MCTargetOptions const*, bool)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMC.a(MCObjectFileInfo.cpp.o);llvm::MCObjectFileInfo::InitMCObjectFileInfo(llvm::Triple const&, bool, llvm::MCContext&, bool)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMC.a(MCTargetOptionsCommandFlags.cpp.o);llvm::mc::InitMCTargetOptionsFromFlags()
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMMC.a(MCTargetOptionsCommandFlags.cpp.o);llvm::mc::RegisterMCTargetOptionsFlags::RegisterMCTargetOptionsFlags()
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::ParseCommandLineOptions(int, char const* const*, llvm::StringRef, llvm::raw_ostream*, char const*, bool)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::HideUnrelatedOptions(llvm::ArrayRef<llvm::cl::OptionCategory const*>, llvm::cl::SubCommand&)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::TopLevelSubCommand
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::AddExtraVersionPrinter(std::function<void (llvm::raw_ostream&)>)
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GenericOptionValue::anchor()
tools/llvm-mca/CMakeFiles/llvm-mca.dir/llvm-mca.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::opt<bool, false, llvm::cl::parser<bool> >
