config->entry:/usr/lib/gcc/x86_64-linux-gnu/9/../../../x86_64-linux-gnu/Scrt1.o--_start
Symbol User;Symbol Owner;Symbol
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMBitWriter.a(BitcodeWriterPass.cpp.o);llvm::createBitcodeWriterPass(llvm::raw_ostream&, bool, bool, bool)
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Globals.cpp.o);llvm::GlobalValue::materialize()
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Globals.cpp.o);llvm::GlobalValue::isDeclaration() const
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(IRPrintingPasses.cpp.o);llvm::createPrintModulePass(llvm::raw_ostream&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool)
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(LLVMContext.cpp.o);llvm::LLVMContext::~LLVMContext()
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(LLVMContext.cpp.o);llvm::LLVMContext::LLVMContext()
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(LegacyPassManager.cpp.o);llvm::legacy::PassManager::PassManager()
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(LegacyPassManager.cpp.o);llvm::legacy::PassManager::add(llvm::Pass*)
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(LegacyPassManager.cpp.o);llvm::legacy::PassManager::~PassManager()
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(LegacyPassManager.cpp.o);llvm::legacy::PassManager::run(llvm::Module&)
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Module.cpp.o);llvm::Module::getGlobalVariable(llvm::StringRef, bool) const
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Module.cpp.o);llvm::Module::~Module()
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Module.cpp.o);llvm::Module::getFunction(llvm::StringRef) const
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Module.cpp.o);llvm::Module::materializeAll()
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Module.cpp.o);llvm::Module::getNamedAlias(llvm::StringRef) const
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Value.cpp.o);llvm::Value::getName() const
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMipo.a(BlockExtractor.cpp.o);llvm::createBlockExtractorPass(llvm::SmallVectorImpl<llvm::SmallVector<llvm::BasicBlock*, 16u> > const&, bool)
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMipo.a(ExtractGV.cpp.o);llvm::createGVExtractionPass(std::vector<llvm::GlobalValue*, std::allocator<llvm::GlobalValue*> >&, bool, bool)
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMipo.a(GlobalDCE.cpp.o);llvm::createGlobalDCEPass()
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMipo.a(StripDeadPrototypes.cpp.o);llvm::createStripDeadPrototypesPass()
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMipo.a(StripSymbols.cpp.o);llvm::createStripDeadDebugInfoPass()
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMIRReader.a(IRReader.cpp.o);llvm::getLazyIRFileModule(llvm::StringRef, llvm::SMDiagnostic&, llvm::LLVMContext&, bool)
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GenericOptionValue::anchor()
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::anchor()
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addOccurrence(unsigned int, llvm::StringRef, llvm::StringRef, bool)
