config->entry:/usr/lib/gcc/x86_64-linux-gnu/9/../../../x86_64-linux-gnu/Scrt1.o--_start
Symbol User;Symbol Owner;SymbolSymbol Kind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;gcovMain(int, char const**);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;tools/llvm-cov/CMakeFiles/llvm-cov.dir/CodeCoverage.cpp.o;exportMain(int, char const**);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;tools/llvm-cov/CMakeFiles/llvm-cov.dir/CodeCoverage.cpp.o;reportMain(int, char const**);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;tools/llvm-cov/CMakeFiles/llvm-cov.dir/CodeCoverage.cpp.o;showMain(int, char const**);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;tools/llvm-cov/CMakeFiles/llvm-cov.dir/TestingSupport.cpp.o;convertForTestingMain(int, char const**);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::PrintVersionMessage();DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;lib/libLLVMSupport.a(InitLLVM.cpp.o);llvm::InitLLVM::InitLLVM(int&, char const**&, bool);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;lib/libLLVMSupport.a(InitLLVM.cpp.o);llvm::InitLLVM::~InitLLVM();DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;lib/libLLVMSupport.a(StringRef.cpp.o);llvm::StringRef::endswith_lower(llvm::StringRef) const;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::errs();DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::write(char const*, unsigned long);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;lib/libLLVMSupport.a(Path.cpp.o);llvm::sys::path::stem(llvm::StringRef, llvm::sys::path::Style);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;lib/libLLVMSupport.a(Process.cpp.o);llvm::sys::Process::StandardErrHasColors();DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::basic_parser_impl::getOptionWidth(llvm::cl::Option const&) const;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addOccurrence(unsigned int, llvm::StringRef, llvm::StringRef, bool);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::anchor();DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GenericOptionValue::anchor();DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::ParseCommandLineOptions(int, char const* const*, llvm::StringRef, llvm::raw_ostream*, char const*, bool);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addCategory(llvm::cl::OptionCategory&);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::OptionCategory::registerCategory();DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::opt<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, false, llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::OptionValue<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::alias;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::setArgStr(llvm::StringRef);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::parser<bool>;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::opt<bool, false, llvm::cl::parser<bool> >;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::basic_parser_impl::printOptionInfo(llvm::cl::Option const&, unsigned long) const;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::Option;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GeneralCategory;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::error(llvm::Twine const&, llvm::StringRef, llvm::raw_ostream&);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addArgument();DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);vtable for llvm::ErrorList;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::ErrorInfoBase::ID;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::ErrorList::ID;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::deallocate_buffer(void*, unsigned long, unsigned long);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(MemoryBuffer.cpp.o);llvm::MemoryBuffer::getFileOrSTDIN(llvm::Twine const&, bool, bool);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(SmallPtrSet.cpp.o);llvm::SmallPtrSetImplBase::CopyFrom(llvm::SmallPtrSetImplBase const&);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(SmallVector.cpp.o);llvm::SmallVectorBase<unsigned long>::grow_pod(void*, unsigned long, unsigned long);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(SmallVector.cpp.o);llvm::SmallVectorBase<unsigned int>::grow_pod(void*, unsigned long, unsigned long);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::write(char const*, unsigned long);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::errs();DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(Path.cpp.o);llvm::sys::path::parent_path(llvm::StringRef, llvm::sys::path::Style);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(Path.cpp.o);llvm::sys::path::append(llvm::SmallVectorImpl<char>&, llvm::Twine const&, llvm::Twine const&, llvm::Twine const&, llvm::Twine const&);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(Path.cpp.o);llvm::sys::path::stem(llvm::StringRef, llvm::sys::path::Style);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(Path.cpp.o);llvm::sys::path::replace_extension(llvm::SmallVectorImpl<char>&, llvm::Twine const&, llvm::sys::path::Style);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMSupport.a(Path.cpp.o);llvm::sys::fs::is_directory(llvm::Twine const&, bool&);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMProfileData.a(GCOV.cpp.o);llvm::GCOVFile::print(llvm::raw_ostream&) const;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMProfileData.a(GCOV.cpp.o);llvm::gcovOneInput(llvm::GCOV::Options const&, llvm::StringRef, llvm::StringRef, llvm::StringRef, llvm::GCOVFile&);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMProfileData.a(GCOV.cpp.o);llvm::GCOVFile::readGCDA(llvm::GCOVBuffer&);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;lib/libLLVMProfileData.a(GCOV.cpp.o);llvm::GCOVFile::readGCNO(llvm::GCOVBuffer&);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/CodeCoverage.cpp.o;tools/llvm-cov/CMakeFiles/llvm-cov.dir/llvm-cov.cpp.o;llvm::raw_ostream::operator<<(char const*);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/CodeCoverage.cpp.o;tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;llvm::cl::list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::handleOccurrence(unsigned int, llvm::StringRef, llvm::StringRef);DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/CodeCoverage.cpp.o;tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;llvm::cl::list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~list();DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/CodeCoverage.cpp.o;tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;vtable for llvm::cl::list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/CodeCoverage.cpp.o;tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;llvm::cl::list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~list();DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/CodeCoverage.cpp.o;tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;vtable for llvm::cl::OptionValueCopy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >;DefinedKind
tools/llvm-cov/CMakeFiles/llvm-cov.dir/CodeCoverage.cpp.o;tools/llvm-cov/CMakeFiles/llvm-cov.dir/gcov.cpp.o;llvm::cl::list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~list();DefinedKind
