config->entry:/usr/lib/gcc/x86_64-linux-gnu/9/../../../x86_64-linux-gnu/Scrt1.o--_start
Symbol User;Symbol Owner;SymbolSymbol Kind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMBitWriter.a(BitcodeWriterPass.cpp.o);llvm::createBitcodeWriterPass(llvm::raw_ostream&, bool, bool, bool);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Globals.cpp.o);llvm::GlobalValue::materialize();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Globals.cpp.o);llvm::GlobalValue::isDeclaration() const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(IRPrintingPasses.cpp.o);llvm::createPrintModulePass(llvm::raw_ostream&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(LLVMContext.cpp.o);llvm::LLVMContext::~LLVMContext();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(LLVMContext.cpp.o);llvm::LLVMContext::LLVMContext();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(LegacyPassManager.cpp.o);llvm::legacy::PassManager::PassManager();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(LegacyPassManager.cpp.o);llvm::legacy::PassManager::add(llvm::Pass*);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(LegacyPassManager.cpp.o);llvm::legacy::PassManager::~PassManager();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(LegacyPassManager.cpp.o);llvm::legacy::PassManager::run(llvm::Module&);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Module.cpp.o);llvm::Module::getGlobalVariable(llvm::StringRef, bool) const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Module.cpp.o);llvm::Module::~Module();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Module.cpp.o);llvm::Module::getFunction(llvm::StringRef) const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Module.cpp.o);llvm::Module::materializeAll();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Module.cpp.o);llvm::Module::getNamedAlias(llvm::StringRef) const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMCore.a(Value.cpp.o);llvm::Value::getName() const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMipo.a(BlockExtractor.cpp.o);llvm::createBlockExtractorPass(llvm::SmallVectorImpl<llvm::SmallVector<llvm::BasicBlock*, 16u> > const&, bool);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMipo.a(ExtractGV.cpp.o);llvm::createGVExtractionPass(std::vector<llvm::GlobalValue*, std::allocator<llvm::GlobalValue*> >&, bool, bool);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMipo.a(GlobalDCE.cpp.o);llvm::createGlobalDCEPass();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMipo.a(StripDeadPrototypes.cpp.o);llvm::createStripDeadPrototypesPass();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMipo.a(StripSymbols.cpp.o);llvm::createStripDeadDebugInfoPass();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMIRReader.a(IRReader.cpp.o);llvm::getLazyIRFileModule(llvm::StringRef, llvm::SMDiagnostic&, llvm::LLVMContext&, bool);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GenericOptionValue::anchor();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::anchor();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addOccurrence(unsigned int, llvm::StringRef, llvm::StringRef, bool);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::basic_parser_impl::printOptionInfo(llvm::cl::Option const&, unsigned long) const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::HideUnrelatedOptions(llvm::cl::OptionCategory&, llvm::cl::SubCommand&);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::basic_parser_impl::getOptionWidth(llvm::cl::Option const&) const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::opt<bool, false, llvm::cl::parser<bool> >;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::opt<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, false, llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GeneralCategory;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::parser<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::setArgStr(llvm::StringRef);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addCategory(llvm::cl::OptionCategory&);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addArgument();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::parser<bool>;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);vtable for llvm::cl::OptionValue<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::OptionCategory::registerCategory();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::ParseCommandLineOptions(int, char const* const*, llvm::StringRef, llvm::raw_ostream*, char const*, bool);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::TopLevelSubCommand;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::logAllUnhandledErrors(llvm::Error, llvm::raw_ostream&, llvm::Twine);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(InitLLVM.cpp.o);llvm::InitLLVM::InitLLVM(int&, char const**&, bool);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(InitLLVM.cpp.o);llvm::InitLLVM::~InitLLVM();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(ManagedStatic.cpp.o);llvm::ManagedStaticBase::RegisterManagedStatic(void* (*)(), void (*)(void*)) const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::deallocate_buffer(void*, unsigned long, unsigned long);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::allocate_buffer(unsigned long, unsigned long);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(Regex.cpp.o);llvm::Regex::~Regex();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(Regex.cpp.o);llvm::Regex::match(llvm::StringRef, llvm::SmallVectorImpl<llvm::StringRef>*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*) const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(Regex.cpp.o);llvm::Regex::Regex(llvm::StringRef, llvm::Regex::RegexFlags);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(Regex.cpp.o);llvm::Regex::isValid(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&) const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(SmallPtrSet.cpp.o);llvm::SmallPtrSetImplBase::insert_imp_big(void const*);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(SmallPtrSet.cpp.o);llvm::SmallPtrSetImplBase::FindBucketFor(void const*) const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(SmallVector.cpp.o);llvm::SmallVectorBase<unsigned int>::mallocForGrow(unsigned long, unsigned long, unsigned long&);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(SmallVector.cpp.o);llvm::SmallVectorBase<unsigned int>::grow_pod(void*, unsigned long, unsigned long);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(SourceMgr.cpp.o);llvm::SMDiagnostic::print(char const*, llvm::raw_ostream&, bool, bool) const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(StringRef.cpp.o);llvm::StringRef::split(llvm::SmallVectorImpl<llvm::StringRef>&, char, int, bool) const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(StringRef.cpp.o);llvm::StringRef::find(llvm::StringRef, unsigned long) const;DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(SystemUtils.cpp.o);llvm::CheckBitcodeOutputToConsole(llvm::raw_ostream&);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(ToolOutputFile.cpp.o);llvm::ToolOutputFile::CleanupInstaller::~CleanupInstaller();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(ToolOutputFile.cpp.o);llvm::ToolOutputFile::ToolOutputFile(llvm::StringRef, std::error_code&, llvm::sys::fs::OpenFlags);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_fd_ostream::~raw_fd_ostream();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::errs();DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::write(unsigned char);DefinedKind
tools/llvm-extract/CMakeFiles/llvm-extract.dir/llvm-extract.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::write(char const*, unsigned long);DefinedKind
lib/libLLVMBitWriter.a(BitcodeWriterPass.cpp.o);lib/libLLVMBitWriter.a(BitcodeWriter.cpp.o);llvm::WriteBitcodeToFile(llvm::Module const&, llvm::raw_ostream&, bool, llvm::ModuleSummaryIndex const*, bool, std::array<unsigned int, 5ul>*);DefinedKind
lib/libLLVMBitWriter.a(BitcodeWriterPass.cpp.o);lib/libLLVMCore.a(LegacyPassManager.cpp.o);llvm::ModulePass::assignPassManager(llvm::PMStack&, llvm::PassManagerType);DefinedKind
lib/libLLVMBitWriter.a(BitcodeWriterPass.cpp.o);lib/libLLVMCore.a(Pass.cpp.o);llvm::ModulePass::createPrinterPass(llvm::raw_ostream&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const;DefinedKind
lib/libLLVMBitWriter.a(BitcodeWriterPass.cpp.o);lib/libLLVMCore.a(Pass.cpp.o);llvm::Pass::dumpPassStructure(unsigned int);DefinedKind
lib/libLLVMBitWriter.a(BitcodeWriterPass.cpp.o);lib/libLLVMCore.a(Pass.cpp.o);llvm::Pass::verifyAnalysis() const;DefinedKind
