config->entry:/usr/lib/gcc/x86_64-linux-gnu/9/../../../x86_64-linux-gnu/Scrt1.o--_start
Symbol User;Symbol Owner;Symbol;Symbol Kind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMObjectYAML.a(ArchiveYAML.cpp.o);llvm::yaml::MappingTraits<llvm::ArchYAML::Archive>::mapping(llvm::yaml::IO&, llvm::ArchYAML::Archive&);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMObjectYAML.a(ArchiveYAML.cpp.o);llvm::yaml::MappingTraits<llvm::ArchYAML::Archive>::validate[abi:cxx11](llvm::yaml::IO&, llvm::ArchYAML::Archive&);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::StringError::StringError(llvm::Twine const&, std::error_code);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::createStringError(std::error_code, char const*);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::allocate_buffer(unsigned long, unsigned long);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(MemAlloc.cpp.o);llvm::deallocate_buffer(void*, unsigned long, unsigned long);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(StringRef.cpp.o);llvm::hash_value(llvm::StringRef);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(StringRef.cpp.o);llvm::StringRef::find_last_not_of(char, unsigned long) const;Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(StringRef.cpp.o);llvm::getAsUnsignedInteger(llvm::StringRef, unsigned int, unsigned long long&);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(YAMLTraits.cpp.o);llvm::yaml::Output::preflightDocument(unsigned int);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(YAMLTraits.cpp.o);llvm::yaml::Output::postflightDocument();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(YAMLTraits.cpp.o);llvm::yaml::Output::~Output();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(YAMLTraits.cpp.o);llvm::yaml::Output::endDocuments();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(YAMLTraits.cpp.o);llvm::yaml::Output::beginDocuments();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(YAMLTraits.cpp.o);llvm::yaml::Output::Output(llvm::raw_ostream&, void*, int);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::SetBufferAndMode(char*, unsigned long, llvm::raw_ostream::BufferKind);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::operator<<(llvm::format_object_base const&);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::flush_nonempty();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::write(char const*, unsigned long);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_string_ostream::~raw_string_ostream();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::errs();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::format_object_base::home();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;tools/obj2yaml/CMakeFiles/obj2yaml.dir/archive2yaml.cpp.o;archive2yaml(llvm::raw_ostream&, llvm::MemoryBufferRef);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;tools/obj2yaml/CMakeFiles/obj2yaml.dir/coff2yaml.cpp.o;coff2yaml(llvm::raw_ostream&, llvm::object::COFFObjectFile const&);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;tools/obj2yaml/CMakeFiles/obj2yaml.dir/elf2yaml.cpp.o;elf2yaml(llvm::raw_ostream&, llvm::object::ObjectFile const&);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;tools/obj2yaml/CMakeFiles/obj2yaml.dir/macho2yaml.cpp.o;macho2yaml(llvm::raw_ostream&, llvm::object::Binary const&);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;tools/obj2yaml/CMakeFiles/obj2yaml.dir/minidump2yaml.cpp.o;minidump2yaml(llvm::raw_ostream&, llvm::object::MinidumpFile const&);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;tools/obj2yaml/CMakeFiles/obj2yaml.dir/xcoff2yaml.cpp.o;xcoff2yaml(llvm::raw_ostream&, llvm::object::XCOFFObjectFile const&);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;tools/obj2yaml/CMakeFiles/obj2yaml.dir/wasm2yaml.cpp.o;wasm2yaml(llvm::raw_ostream&, llvm::object::WasmObjectFile const&);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMBinaryFormat.a(Magic.cpp.o);llvm::identify_magic(llvm::StringRef);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMObject.a(Binary.cpp.o);llvm::object::createBinary(llvm::MemoryBufferRef, llvm::LLVMContext*, bool);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GenericOptionValue::anchor();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::ParseCommandLineOptions(int, char const* const*, llvm::StringRef, llvm::raw_ostream*, char const*, bool);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addArgument();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GeneralCategory;Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::logAllUnhandledErrors(llvm::Error, llvm::raw_ostream&, llvm::Twine);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(Error.cpp.o);llvm::errorCodeToError(std::error_code);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(InitLLVM.cpp.o);llvm::InitLLVM::~InitLLVM();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(InitLLVM.cpp.o);llvm::InitLLVM::InitLLVM(int&, char const**&, bool);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(MemoryBuffer.cpp.o);llvm::MemoryBuffer::getMemBufferRef() const;Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(MemoryBuffer.cpp.o);llvm::MemoryBuffer::getFileOrSTDIN(llvm::Twine const&, bool, bool);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::errs();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_string_ostream::~raw_string_ostream();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::flush_nonempty();Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::write(char const*, unsigned long);Defined DefinedKind
tools/obj2yaml/CMakeFiles/obj2yaml.dir/obj2yaml.cpp.o;lib/libLLVMSupport.a(raw_ostream.cpp.o);llvm::raw_ostream::SetBufferAndMode(char*, unsigned long, llvm::raw_ostream::BufferKind);Defined DefinedKind
