config->entry:/usr/lib/gcc/x86_64-linux-gnu/9/../../../x86_64-linux-gnu/Scrt1.o--_start
Symbol User;Symbol Owner;Symbol;Symbol Kind
tools/yaml2obj/CMakeFiles/yaml2obj.dir/yaml2obj.cpp.o;lib/libLLVMObjectYAML.a(yaml2obj.cpp.o);llvm::yaml::convertYAML(llvm::yaml::Input&, llvm::raw_ostream&, llvm::function_ref<void (llvm::Twine const&)>, unsigned int, unsigned long);Defined DefinedKind
tools/yaml2obj/CMakeFiles/yaml2obj.dir/yaml2obj.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::ParseCommandLineOptions(int, char const* const*, llvm::StringRef, llvm::raw_ostream*, char const*, bool);Defined DefinedKind
tools/yaml2obj/CMakeFiles/yaml2obj.dir/yaml2obj.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addOccurrence(unsigned int, llvm::StringRef, llvm::StringRef, bool);Defined DefinedKind
tools/yaml2obj/CMakeFiles/yaml2obj.dir/yaml2obj.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::anchor();Defined DefinedKind
tools/yaml2obj/CMakeFiles/yaml2obj.dir/yaml2obj.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::GenericOptionValue::anchor();Defined DefinedKind
tools/yaml2obj/CMakeFiles/yaml2obj.dir/yaml2obj.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::HideUnrelatedOptions(llvm::cl::OptionCategory&, llvm::cl::SubCommand&);Defined DefinedKind
tools/yaml2obj/CMakeFiles/yaml2obj.dir/yaml2obj.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::TopLevelSubCommand;Defined DefinedKind
tools/yaml2obj/CMakeFiles/yaml2obj.dir/yaml2obj.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::setArgStr(llvm::StringRef);Defined DefinedKind
tools/yaml2obj/CMakeFiles/yaml2obj.dir/yaml2obj.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addArgument();Defined DefinedKind
tools/yaml2obj/CMakeFiles/yaml2obj.dir/yaml2obj.cpp.o;lib/libLLVMSupport.a(CommandLine.cpp.o);llvm::cl::Option::addCategory(llvm::cl::OptionCategory&);Defined DefinedKind
