config->entry:/usr/lib/gcc/x86_64-linux-gnu/9/../../../x86_64-linux-gnu/Scrt1.o--_start
Symbol User;Symbol Owner;Symbol;Symbol Kind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;tools/llvm-mc/CMakeFiles/llvm-mc.dir/Disassembler.cpp.o;llvm::Disassembler::disassemble(llvm::Target const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, llvm::MCSubtargetInfo&, llvm::MCStreamer&, llvm::MemoryBuffer&, llvm::SourceMgr&, llvm::MCContext&, llvm::raw_ostream&, llvm::MCTargetOptions const&);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMX86AsmParser.a(X86AsmParser.cpp.o);LLVMInitializeX86AsmParser;Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMX86Desc.a(X86MCTargetDesc.cpp.o);LLVMInitializeX86TargetMC;Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCNullStreamer.cpp.o);llvm::createNullStreamer(llvm::MCContext&);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCObjectFileInfo.cpp.o);llvm::MCObjectFileInfo::initMCObjectFileInfo(llvm::MCContext&, bool, bool);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMX86Disassembler.a(X86Disassembler.cpp.o);LLVMInitializeX86Disassembler;Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMX86Info.a(X86TargetInfo.cpp.o);LLVMInitializeX86TargetInfo;Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCAsmBackend.cpp.o);llvm::MCAsmBackend::createDwoObjectWriter(llvm::raw_pwrite_stream&, llvm::raw_pwrite_stream&) const;Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCAsmBackend.cpp.o);llvm::MCAsmBackend::createObjectWriter(llvm::raw_pwrite_stream&) const;Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCAsmStreamer.cpp.o);llvm::createAsmStreamer(llvm::MCContext&, std::unique_ptr<llvm::formatted_raw_ostream, std::default_delete<llvm::formatted_raw_ostream> >, bool, bool, llvm::MCInstPrinter*, std::unique_ptr<llvm::MCCodeEmitter, std::default_delete<llvm::MCCodeEmitter> >&&, std::unique_ptr<llvm::MCAsmBackend, std::default_delete<llvm::MCAsmBackend> >&&, bool);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCContext.cpp.o);llvm::MCContext::setSymbolValue(llvm::MCStreamer&, llvm::StringRef, unsigned long);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCContext.cpp.o);llvm::MCContext::~MCContext();Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCContext.cpp.o);llvm::MCContext::setGenDwarfRootFile(llvm::StringRef, llvm::StringRef);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCContext.cpp.o);llvm::MCContext::addDebugPrefixMapEntry(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCContext.cpp.o);llvm::MCContext::MCContext(llvm::Triple const&, llvm::MCAsmInfo const*, llvm::MCRegisterInfo const*, llvm::MCObjectFileInfo const*, llvm::MCSubtargetInfo const*, llvm::SourceMgr const*, llvm::MCTargetOptions const*, bool);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCELFStreamer.cpp.o);llvm::createELFStreamer(llvm::MCContext&, std::unique_ptr<llvm::MCAsmBackend, std::default_delete<llvm::MCAsmBackend> >&&, std::unique_ptr<llvm::MCObjectWriter, std::default_delete<llvm::MCObjectWriter> >&&, std::unique_ptr<llvm::MCCodeEmitter, std::default_delete<llvm::MCCodeEmitter> >&&, bool);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCMachOStreamer.cpp.o);llvm::createMachOStreamer(llvm::MCContext&, std::unique_ptr<llvm::MCAsmBackend, std::default_delete<llvm::MCAsmBackend> >&&, std::unique_ptr<llvm::MCObjectWriter, std::default_delete<llvm::MCObjectWriter> >&&, std::unique_ptr<llvm::MCCodeEmitter, std::default_delete<llvm::MCCodeEmitter> >&&, bool, bool, bool);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCTargetOptionsCommandFlags.cpp.o);llvm::mc::RegisterMCTargetOptionsFlags::RegisterMCTargetOptionsFlags();Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCTargetOptionsCommandFlags.cpp.o);llvm::mc::InitMCTargetOptionsFromFlags();Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCWasmStreamer.cpp.o);llvm::createWasmStreamer(llvm::MCContext&, std::unique_ptr<llvm::MCAsmBackend, std::default_delete<llvm::MCAsmBackend> >&&, std::unique_ptr<llvm::MCObjectWriter, std::default_delete<llvm::MCObjectWriter> >&&, std::unique_ptr<llvm::MCCodeEmitter, std::default_delete<llvm::MCCodeEmitter> >&&, bool);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(MCXCOFFStreamer.cpp.o);llvm::createXCOFFStreamer(llvm::MCContext&, std::unique_ptr<llvm::MCAsmBackend, std::default_delete<llvm::MCAsmBackend> >&&, std::unique_ptr<llvm::MCObjectWriter, std::default_delete<llvm::MCObjectWriter> >&&, std::unique_ptr<llvm::MCCodeEmitter, std::default_delete<llvm::MCCodeEmitter> >&&, bool);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(SubtargetFeature.cpp.o);llvm::SubtargetFeatures::SubtargetFeatures(llvm::StringRef);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(SubtargetFeature.cpp.o);llvm::SubtargetFeatures::getString[abi:cxx11]() const;Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMC.a(SubtargetFeature.cpp.o);llvm::SubtargetFeatures::AddFeature(llvm::StringRef, bool);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMCParser.a(AsmLexer.cpp.o);llvm::AsmLexer::AsmLexer(llvm::MCAsmInfo const&);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMCParser.a(AsmLexer.cpp.o);llvm::AsmLexer::setBuffer(llvm::StringRef, char const*, bool);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMCParser.a(AsmLexer.cpp.o);llvm::AsmLexer::LexToken();Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMCParser.a(AsmLexer.cpp.o);llvm::AsmLexer::~AsmLexer();Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMCParser.a(AsmParser.cpp.o);llvm::createMCAsmParser(llvm::SourceMgr&, llvm::MCContext&, llvm::MCStreamer&, llvm::MCAsmInfo const&, unsigned int);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMCParser.a(MCAsmLexer.cpp.o);llvm::AsmToken::dump(llvm::raw_ostream&) const;Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMMCParser.a(MCAsmParser.cpp.o);llvm::MCAsmParser::setTargetParser(llvm::MCTargetAsmParser&);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMSupport.a(APInt.cpp.o);llvm::APInt::initSlowCase(llvm::APInt const&);Defined DefinedKind
tools/llvm-mc/CMakeFiles/llvm-mc.dir/llvm-mc.cpp.o;lib/libLLVMSupport.a(APInt.cpp.o);llvm::APInt::AssignSlowCase(llvm::APInt const&);Defined DefinedKind
